127.0.0.1 - - [30/Nov/2021:10:26:06 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [30/Nov/2021:10:26:07 -0300] "GET /Biblioteca/WEB-INF/classes/view/ReservasHttp.java HTTP/1.1" 404 695
0:0:0:0:0:0:0:1 - - [30/Nov/2021:10:29:34 -0300] "POST /biblioteca/reservas HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Nov/2021:10:32:59 -0300] "POST /biblioteca/reservas HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Nov/2021:10:33:40 -0300] "POST /reservas HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [30/Nov/2021:10:34:46 -0300] "POST /biblioteca/reservas HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Nov/2021:10:35:50 -0300] "POST /biblioteca/reservas HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Nov/2021:10:37:23 -0300] "POST /biblioteca/reservas HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Nov/2021:10:37:38 -0300] "-" 400 1980
0:0:0:0:0:0:0:1 - - [30/Nov/2021:10:37:43 -0300] "POST /biblioteca/reservas HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Nov/2021:10:44:28 -0300] "POST /Biblioteca/reservas HTTP/1.1" 200 105
