127.0.0.1 - - [01/Dec/2021:07:53:23 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [01/Dec/2021:07:53:23 -0300] "GET /Biblioteca/WEB-INF/classes/view/ReservasHttp.java HTTP/1.1" 404 695
0:0:0:0:0:0:0:1 - - [01/Dec/2021:07:53:40 -0300] "GET /Biblioteca/reservas HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [01/Dec/2021:07:57:39 -0300] "POST /Biblioteca/reservas HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [01/Dec/2021:07:57:42 -0300] "GET /Biblioteca/reservas HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [01/Dec/2021:08:41:00 -0300] "POST /Biblioteca/reservas HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [01/Dec/2021:08:41:04 -0300] "GET /Biblioteca/reservas?nome_livro&nome_pessoa HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [01/Dec/2021:08:41:23 -0300] "POST /Biblioteca/reservas HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [01/Dec/2021:08:41:53 -0300] "POST /Biblioteca/reservas HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [01/Dec/2021:08:42:06 -0300] "GET /Biblioteca/reservas?nome_livro&nome_pessoa HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [01/Dec/2021:08:42:35 -0300] "POST /Biblioteca/reservas HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [01/Dec/2021:08:44:19 -0300] "POST /Biblioteca/reservas HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [01/Dec/2021:08:44:34 -0300] "GET /Biblioteca/reservas?nome_livro=1984&nome_pessoa HTTP/1.1" 200 582
0:0:0:0:0:0:0:1 - - [01/Dec/2021:08:44:36 -0300] "GET /Biblioteca/reservas?nome_livro=1984&nome_pessoa HTTP/1.1" 200 582
0:0:0:0:0:0:0:1 - - [01/Dec/2021:08:44:41 -0300] "GET /Biblioteca/reservas?nome_livro=1984 HTTP/1.1" 200 582
0:0:0:0:0:0:0:1 - - [01/Dec/2021:08:44:47 -0300] "GET /Biblioteca/reservas?nome_livro=1984&nome_pessoa HTTP/1.1" 200 582
0:0:0:0:0:0:0:1 - - [01/Dec/2021:08:45:15 -0300] "GET /Biblioteca/reservas?nome_livro=1984&nome_pessoa HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [01/Dec/2021:08:45:17 -0300] "GET /Biblioteca/reservas?nome_livro=1984&nome_pessoa HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [01/Dec/2021:08:45:17 -0300] "GET /Biblioteca/reservas?nome_livro=1984&nome_pessoa HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [01/Dec/2021:08:45:20 -0300] "GET /Biblioteca/reservas?nome_livro=1984 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [01/Dec/2021:08:45:20 -0300] "GET /Biblioteca/reservas?nome_livro=1984 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [01/Dec/2021:08:45:21 -0300] "GET /Biblioteca/reservas?nome_livro=1984 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [01/Dec/2021:08:45:21 -0300] "GET /Biblioteca/reservas?nome_livro=1984 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [01/Dec/2021:08:45:41 -0300] "GET /Biblioteca/reservas HTTP/1.1" 200 582
0:0:0:0:0:0:0:1 - - [01/Dec/2021:08:45:59 -0300] "GET /Biblioteca/reservas?nome_pessoa=Larissinha HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [01/Dec/2021:08:46:21 -0300] "GET /Biblioteca/reservas?nome_pessoa=Larissinha HTTP/1.1" 200 2
